search_text,document_id,document_type,trade,certification_group,importance,selection_rule,certification_name,ncs_code,review_status,source_file
"직종 건축목공시공의 NCS 능력은 건축목공시공 계획수립이며 NCS 코드는 1403020103_14v2, 세분류는 건축목공시공이다.",ability-requirement-00001,NCS 능력 요구사항,건축목공시공,,,,,1403020103_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 건축목공시공 도면파악이며 NCS 코드는 1403020101_14v2, 세분류는 건축목공시공이다.",ability-requirement-00002,NCS 능력 요구사항,건축목공시공,,,,,1403020101_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 건축목공시공 현장안전이며 NCS 코드는 1403020102_14v2, 세분류는 건축목공시공이다.",ability-requirement-00003,NCS 능력 요구사항,건축목공시공,,,,,1403020102_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 검사 하자보수이며 NCS 코드는 1403020112_14v2, 세분류는 건축목공시공이다.",ability-requirement-00004,NCS 능력 요구사항,건축목공시공,,,,,1403020112_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 구조물 제작설치이며 NCS 코드는 1403020106_14v2, 세분류는 건축목공시공이다.",ability-requirement-00005,NCS 능력 요구사항,건축목공시공,,,,,1403020106_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 먹매김이며 NCS 코드는 1403020105_14v2, 세분류는 건축목공시공이다.",ability-requirement-00006,NCS 능력 요구사항,건축목공시공,,,,,1403020105_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 목재창호 제작설치이며 NCS 코드는 1403020110_14v2, 세분류는 건축목공시공이다.",ability-requirement-00007,NCS 능력 요구사항,건축목공시공,,,,,1403020110_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 바닥 설치이며 NCS 코드는 1403020107_14v2, 세분류는 건축목공시공이다.",ability-requirement-00008,NCS 능력 요구사항,건축목공시공,,,,,1403020107_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 벽 설치이며 NCS 코드는 1403020108_14v2, 세분류는 건축목공시공이다.",ability-requirement-00009,NCS 능력 요구사항,건축목공시공,,,,,1403020108_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 보양 현장정리이며 NCS 코드는 1403020111_14v2, 세분류는 건축목공시공이다.",ability-requirement-00010,NCS 능력 요구사항,건축목공시공,,,,,1403020111_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 시공준비이며 NCS 코드는 1403020104_14v2, 세분류는 건축목공시공이다.",ability-requirement-00011,NCS 능력 요구사항,건축목공시공,,,,,1403020104_14v2,구조화원본,직종별_능력요건.csv
"직종 건축목공시공의 NCS 능력은 천장 설치이며 NCS 코드는 1403020109_14v2, 세분류는 건축목공시공이다.",ability-requirement-00012,NCS 능력 요구사항,건축목공시공,,,,,1403020109_14v2,구조화원본,직종별_능력요건.csv
"직종 철근콘크리트시공의 NCS 능력은 거푸집 설치이며 NCS 코드는 1403020606_22v3, 세분류는 철근콘크리트시공이다.",ability-requirement-00013,NCS 능력 요구사항,철근콘크리트시공,,,,,1403020606_22v3,구조화원본,직종별_능력요건.csv
"직종 철근콘크리트시공의 NCS 능력은 시공 전 준비이며 NCS 코드는 1403020604_22v3, 세분류는 철근콘크리트시공이다.",ability-requirement-00014,NCS 능력 요구사항,철근콘크리트시공,,,,,1403020604_22v3,구조화원본,직종별_능력요건.csv
